Total Production,Vinnytsia,Volyn,Dnipropetrovsk,Donetsk,Zhytomyr,Transcarpathian,Zaporizhzhia,Ivano-Frankivsk,Kyiv,Kirovohrad,Luhansk,Lviv,Mykolaiv,Odessa,Poltava,Rivne,Sumy,Ternopil,Kharkiv,Kherson,Khmelnytskyi,Cherkasy,Chernivtsi,Chernihiv
24000000,274.09,474.44036762,232.978,232.978,428.5445176,274.09,256.48366880000003,499.0851496,441.09722144,274.09,327.464352,497.95244560000003,232.978,232.978,274.09,461.501236,427.5711316,356.314,308.35,232.978,311.73831998,274.09,506.4993928,450.51571448000004
25000000,274.08999986752,476.8837538774191,232.97799988518398,232.97799988518398,428.5445155681755,274.08999986752,256.4836678223877,499.08514531087536,459.5551902306356,274.08999986752,327.4643499460434,497.95244134712186,232.97799988518398,232.97799988518398,274.08999986752,461.50123291356056,427.5711289503639,356.31399969971204,308.34999986752,232.97799988518398,319.89658467699905,274.08999986752,506.49938827361956,438.2855573682702
26000000,274.09000012738466,479.13919811649527,232.9780001104,232.9780001104,428.54451955367756,274.09000012738466,256.48366974001186,499.0851537241586,469.50871662798886,274.09000012738466,327.46435397495844,497.95244968930615,232.9780001104,232.9780001104,274.09000012738466,461.50123896773044,427.83275590587016,356.3140002887385,308.3500001273846,232.9780001104,327.4272926976765,274.09000012738466,506.49939715228913,434.03818553245543
27000000,274.09,481.22756197333337,232.978,232.978,428.5445176,274.09,256.4836688,499.08514959999997,470.53123039999997,274.09,327.464352,497.9524456,232.978,232.978,274.09,461.501236,428.37758152000004,356.314,308.35,232.978,334.40016820444447,274.09,506.49939279999995,438.24983656
28000000,274.08999988171433,483.81055838549963,232.9779998974857,232.9779998974857,428.54451578587094,274.08999988171433,256.4836679271319,499.0851457704244,470.5312268071079,274.08999988171433,327.46435016611014,496.9422669307947,232.9779998974857,232.9779998974857,274.08999988171433,461.50123324425056,428.9185517454211,356.31399973188576,308.34999988171427,232.9779998974857,341.6696829713575,274.08999988171433,506.49938875858885,443.1044275751942
29000000,274.09000011420693,489.7754808470077,232.97800009897932,232.97800009897932,428.54451935157294,274.09000011420693,256.4836696427693,499.0851532975215,470.53123386899955,274.09000011420693,327.46435377065234,490.41569161890334,232.97800009897932,232.97800009897932,274.09000011420693,461.5012386607238,429.42222062107396,356.314000258869,308.35000011420686,232.97800009897932,352.83238070059144,274.09000011420693,506.4993967020523,447.6242278810484
30000000,274.09,492.9173776,232.978,232.978,428.5445176,274.09,256.4836688,499.0851496,470.5312304,274.09,327.464352,484.32422063999996,232.978,232.978,274.09,471.9201815360001,429.892304848,359.08346716799997,308.35,232.978,353.864746,274.09,506.4993928,451.842699664
31000000,274.0899997863226,492.9173743001968,232.97799990740643,232.97799990740643,428.5445159614319,274.0899997863226,256.48366801160296,499.08514614102853,470.5312271548071,274.0899997863226,327.46434868716676,478.62574809302447,232.97799990740643,232.97799990740643,274.0899997863226,482.7389613554759,430.3320610368059,365.03045716226313,308.3499998931613,232.97799990740643,353.86474471858725,274.0899997863226,506.4993891496932,455.7890117663797
32000000,274.09000020700006,492.91738079668454,232.97800008970003,232.97800008970003,428.544519187363,274.09000020700006,256.4836695637597,499.0851529508788,470.5312335437809,274.09000020700006,327.4643552093074,473.2834324451256,232.97800008970003,232.97800008970003,274.09000020700006,492.88157609544805,430.74433885840125,370.6057608069402,308.35000010349995,232.97800008970003,353.86474724136866,274.09000020700006,506.49939633623495,459.4886881513116
33000000,274.09,492.9173776,232.978,232.978,428.54451760000006,274.09,256.48366880000003,499.0851496,459.65532093090906,274.09,327.464352,468.2648886545454,232.978,232.978,274.09,502.4094782690909,431.53325512,375.8431665163636,308.35,232.978,353.864746,274.09,506.4993928,473.7746215490909
34000000,274.0899998051765,492.9173745913559,232.97799991557645,232.97799991557645,428.5445161060114,274.0899998051765,256.4836680811674,499.0851464462318,421.4373123233574,274.0899998051765,327.4643489794756,463.54155355145537,232.97799991557645,232.97799991557645,274.0899998051765,511.3769182537805,432.04166714654906,380.77248929778034,308.34999990258825,232.97799991557645,353.86474483165307,289.87562270383995,506.49938947177907,500.7664254573495
35000000,274.0900001892572,492.91738052268295,232.97800008201145,232.97800008201145,428.54451905130327,274.0900001892572,256.48366949829455,499.08515266366066,407.759049768664,274.0900001892572,327.46435493422393,459.0881295225079,232.97800008201145,232.97800008201145,274.0900001892572,519.8319337790113,432.0416711947811,385.42013821924536,308.3500000946285,232.97800008201145,353.8647471349656,301.6710785344517,506.499396033129,509.430414327466
36000000,274.09,492.9173776,232.978,232.978,428.5445176,274.09,256.4836688,499.08514959999997,414.42002192,274.09,327.464352,454.882112,232.978,232.978,274.09,522.1287208,432.04166919999994,395.66128066666664,308.35,232.978,353.864746,304.8777448,506.4993928,507.6382752800001
37000000,274.089999820973,492.9173748353,232.9779998329081,232.9779998329081,460.28670310190915,274.089999820973,256.4836673772794,499.0851467019428,416.6281976032822,274.089999820973,327.46434922438294,450.9034458092669,232.9779998329081,232.9779998329081,274.089999820973,522.1287174037034,432.0416673130451,407.58381323933065,308.3499999104865,232.9779998329081,353.8647449263839,307.9110776189782,506.4993897416348,505.9430086888815
38000000,274.09000017431583,492.9173802919448,232.9780001626947,232.9780001626947,492.2432979240694,274.09000017431583,256.48367018528063,499.08515242179266,418.47710609888645,274.09000017431583,327.46435470257467,447.1341913800452,232.9780001626947,232.9780001626947,274.09000017431583,522.1287241069205,432.0416710372983,418.87884715738926,308.35000008715787,232.9780001626947,353.86474704536306,310.784762246875,506.499395777882,504.33697648911993
39000000,274.09,492.9173776,232.978,232.978,522.56108584,274.09,256.48366880000003,499.0851496,420.23119427692313,274.09,327.464352,443.55822406153845,232.978,232.978,274.09,522.1287208,432.0416692,429.5946453538462,308.35,232.978,353.864746,313.5110785846154,506.49939279999995,502.81329536615385
40000000,274.08999983440003,492.91737504265245,232.97799984543997,232.97799984543997,551.3629831777404,274.08999983440003,256.4836674839834,499.2788704821923,421.89757797764844,274.08999983440003,327.46434943255423,440.44390612412184,232.97799984543997,232.97799984543997,274.08999983440003,522.1287176584256,432.04166745456666,439.31472712204845,308.3499999172,232.97799984543997,353.8647450069051,316.10107899086245,506.4993899710122,501.3657958949876
41000000,274.090000161561,492.9173800949732,232.97800015079022,232.97800015079022,562.8539046595884,274.090000161561,256.48367008391864,502.452718546527,423.48267921371087,274.090000161561,327.46435450482534,441.84655639798154,232.97800015079022,232.97800015079022,274.090000161561,538.7208757652853,432.0416709028619,441.46292212412646,308.35000008078043,232.97800015079022,353.8647469688731,317.76056207880515,506.4993955599882,500.8755205942383
42000000,274.09000000000003,492.91737759999995,232.978,232.978,562.8539008,274.09000000000003,256.4836688,505.47542964571426,424.9922949714286,274.09000000000003,327.464352,443.18240944,232.978,232.978,274.09000000000003,565.9387267771428,432.0416692,443.5088126628571,308.35,232.978,353.864746,317.76056,506.4993928,502.15102754285715
43000000,274.0899998459535,492.91737522107206,232.97799985622325,232.97799985622325,562.8538971199275,274.0899998459535,256.4836675757985,508.35754942112845,426.43169598787546,274.0899998459535,327.46434961167836,444.45612973383936,232.97799985622325,232.97799985622325,274.0899998459535,591.8906302411045,432.04166757634107,445.45954542775627,308.34999992297674,232.97799985622325,353.86474507619073,317.7605580178836,506.4993901683834,503.3672082105721
44000000,274.09000015054545,492.91737992486145,232.97800014050907,232.97800014050907,562.8539043964346,274.09000015054545,256.4836699963787,511.1086657666447,427.8056741641032,274.09000015054545,327.4643543340418,445.67195800403556,232.97800014050907,232.97800014050907,274.09000015054545,616.6629145529621,432.04167078675766,447.321619631276,308.35000007527276,232.97800014050907,353.86474690281364,308.8775707058067,506.4993953718071,524.9671581793342
45000000,274.09000000000003,492.9173776,232.978,232.978,562.8539008,274.09000000000003,256.4836688,513.737508256,429.11858224,274.09000000000003,327.464352,446.833745184,232.978,232.978,274.09000000000003,640.334195472,432.0416692,449.1009240853333,308.35,232.978,353.864746,293.741752,506.4993928,553.908969824
46000000,274.089999856,494.0080623172511,232.97799986559997,232.97799986559997,567.1863265005425,274.089999856,256.48366765563776,516.2520531563679,430.3744073114016,274.089999856,327.4643497674385,447.94501983834743,232.97799986559997,232.97799986559997,274.089999856,662.2317804316211,432.04166768223195,450.4714497413912,308.349999928,232.97799986559997,353.8647451364392,284.2386580565656,506.49939034001056,572.8799939935841
47000000,274.0900001409362,525.7666775390072,232.97800013154043,232.97800013154043,579.879654245313,274.0900001409362,256.4836699200141,518.6595984292152,431.57679740930723,274.0900001409362,327.46435418506036,449.00901046057885,232.97800013154043,232.97800013154043,274.0900001409362,662.2317906584134,432.04167068547525,442.45076428509486,308.3500000704681,232.97800013154043,353.8647468451872,284.95189069720357,506.49939520764923,573.8594346816741
48000000,274.09,572.03316262,232.978,232.978,576.2129218,274.09,256.48366880000003,520.96682704,432.7290836,274.09,327.464352,450.02866396,232.978,232.978,274.09,662.2317856000001,432.0416692,434.76426392,308.35,232.978,353.864746,285.6354043,506.4993928,574.7980432100001
49000000,274.0899998648164,585.3950822751823,232.97799987382857,232.97799987382857,603.7119940851525,274.0899998648164,256.48366772570074,523.1798805100832,433.834337664419,274.0899998648164,327.4643499041259,451.00669891662534,232.97799987382857,232.97799987382857,274.0899998648164,662.2317807480525,432.0416677751565,427.3915001130718,308.34999993240814,232.97799987382857,353.86474518931027,286.2910193665333,506.4993904906222,575.6983411561264
